# source: https://www.youtube.com/watch?v=v_P63bUm0ls
# video_id: v_P63bUm0ls
# fetched: 2026-07-10T09:14:45.147Z
# segments: 916

[00:01:00] 終を行います。
[00:01:02] おはようございます。
[00:01:11] 本日は全員の出席でございます。ただ今から本日を持って消集されました
[00:01:21] 8年例2回新徳議会を開催いたします。
[00:01:28] 直ちに会議を開きます。議長において作成
[00:01:31] いたしました本日の議事に日程は別を乙元
[00:01:35] に配布した通りであります。日程第1会議
[00:01:40] 録署名議員の使名を行います。会議署名
[00:01:43] 議員は会議規則第127条の規定により
[00:01:48] 議長において6番斎藤吉義吉議員、7番
[00:01:53] 岡村力議員を指名いたします。日程第2
[00:01:58] 会機の決定を議題といたします。今期定例
[00:02:02] 会の会議につきましては議会運営委員会に
[00:02:06] 協議をお願いしておりますのでその結果を
[00:02:09] 委員長から報告願います。
[00:02:12] 若杉正議会運営委員長の指名により議会委員会におけ協議の結果についてご報告申し
[00:02:41] ます。
[00:02:43] え、本日消集になりました第2回定例長議
[00:02:48] 会の会議につきましては
[00:02:51] 去5月19日午前10時から
[00:02:56] 議員被会室において
[00:02:59] 議会運営委員会を開催し
[00:03:02] 提出予定の議の説明を受けれ
[00:03:07] を勘案し、日程等について審議行いました
[00:03:11] 。
[00:03:14] その結果会機は本日から6月19日までの
[00:03:20] 17日間としその間の会議等については
[00:03:25] 別市会議予定表の通りであります。以上
[00:03:28] 報告を終わります。
[00:03:46] お諮りたします。ただ今の機会運営委員長の報告の通り、今定例会の会議は本日から
[00:03:53] 6月19日までの17
[00:03:56] 日間といたしたいと思います。これにご異議ございませんか?
[00:04:00] 異なしと認めます。よって会議は本日から
[00:04:04] 6月19日までの17
[00:04:07] 日間と決しました。消班の報告は朗読を省略します。
[00:04:12] 別お手元に配通りでありますのでご了承を願います。次に長から行政報告の申し出がありますのでこれを許します。岩長ご願います。
[00:04:39] おはようございます。
[00:04:42] 令和8年臨時第2回長議会以降における
[00:04:45] 初犯の行政をご報告いたします。行政報告
[00:04:48] 1ページをご覧ください。4月10日第
[00:04:52] 11回北海道新徳高等支援学校入学式が
[00:04:57] 強行され、今年度は木光家8名、家庭総合
[00:05:01] 化5名、合計13名の生徒が入学されまし
[00:05:04] た。また5月21日には2年生が来長され
[00:05:09] 桜プロジェクトの受注式が行われました。
[00:05:12] このような地域連携事業をはじめとし、
[00:05:15] 今後とも生徒を見守り成長を支えてまいり
[00:05:18] たいと考えております。次に3ページをお
[00:05:21] 開きください。
[00:05:24] 中段になります。4月21日山形県東根
[00:05:28] 市長土田誠西誠市の葬儀に散列いたしまし
[00:05:32] た。本長と有行都市であります山形県東根
[00:05:36] 市の土田市町が4月16日ご去されました
[00:05:40] 。28年の長期にわたり東根の活性化と
[00:05:45] 発展のために尽力されてこられたその功績
[00:05:47] に心から経緯を表しご冥服をお祈りいたし
[00:05:51] ます。また5月に市長選挙が行われ新市長
[00:05:56] には元副市長の鈴木敬一氏が就任され1期
[00:06:00] 目をスタートされております。本長と
[00:06:02] いたしましてはこれまでと変わらぬを築い
[00:06:05] てまいりたいと考えております。ページを
[00:06:08] おめくりいただき5ページをご覧ください
[00:06:10] 。
[00:06:13] 1番下談になります。5月18日予防教室
[00:06:17] 開光式が旧徳クリニックで行われました。
[00:06:21] 兼ねてよりされておりましたフレイル介護
[00:06:24] 予防教室が変されておりました旧新徳
[00:06:27] クリニックにて解説されました。ご人力ご
[00:06:31] 協力いただきました関係に心から感謝を
[00:06:35] 申し上げます。次に6ページをご覧
[00:06:38] ください。
[00:06:40] 中段になります。5月24日と戸勝ち岳
[00:06:44] 対象被災100年追道式が上フの町で
[00:06:49] 取り行われました。20日山である戸勝ち
[00:06:52] だけですが、本長におきましては昭和37
[00:06:55] 年6月の文化で戸村牛地区の住民は避難を
[00:07:00] 余儀なくされました。と勝ちだけは現在
