# source: https://www.youtube.com/watch?v=NhGrh81lhMc
# video_id: NhGrh81lhMc
# fetched: 2026-07-10T09:35:13.826Z
# segments: 555

[00:00:30] 朝礼を行います
[00:00:33] おはようございます
[00:00:42] 本日は全員の出席でございます
[00:00:45] ただいまから本日の会議を開きます
[00:00:49] 議長において作成いたしました本日の議事
[00:00:51] 日程は別紙お手元に配布した通りであり
[00:00:54] ます
[00:00:56] 諸般の報告は朗読を省略し別紙お手元に
[00:01:00] 配布の通りでありますのでご了承願います
[00:01:08] 日程第1議案第54号
[00:01:12] 工事請負契約の締結についてを議題と
[00:01:15] いたします
[00:01:16] 提案者から提案理由の説明を求めます深原
[00:01:19] 総務課長
[00:01:20] はい
[00:01:34] 議案第54号工事請負契約の締結につき
[00:01:38] ましてご説明をいたします
[00:01:41] 1契約の目的でありますが
[00:01:44] 中央監視装置更新工事でございます
[00:01:48] 2契約の方法は3者による指名競争入札で
[00:01:53] ございます
[00:01:54] 3契約の金額6921万8600円
[00:02:00] 4契約の相手方といたしまして
[00:02:03] 札幌市東区北24条東2丁目5番15号
[00:02:10] 北海道三菱電気販売株式会社
[00:02:14] 代表取締役田中敦でございます
[00:02:18] なお工期は令和10年2月28日として
[00:02:22] おります
[00:02:24] 2ページ以降に資料といたしまして工事
[00:02:27] 概要並びに図面を添付しております
[00:02:32] 以上で説明を終わりますがご審議のほど
[00:02:35] よろしくお願い申し上げます
[00:02:49] これから質疑に入ります質疑ありましたら
[00:02:51] 発言を許します
[00:02:55] これをもって質疑を終結いたします
[00:02:58] 本件について討論はありませんか
[00:03:03] 討論はないようですんでこれから議案第
[00:03:06] 54号を採決いたします
[00:03:09] 本件は議案の通り決することに賛成議員の
[00:03:12] 挙手を求めます
[00:03:16] 挙手全員でありますよって議案第54号は
[00:03:20] 議案の通り可決されました
[00:03:24] 日程第2
[00:03:26] 議案第55号工事請負契約の締結について
[00:03:30] お計らいといたします
[00:03:32] 提案者から提案理由の説明を求めます福原
[00:03:36] 損課長
[00:03:45] [咳払い]
[00:03:50] 議案第55号
[00:03:52] 工事請負契約の締結につきましてご説明を
[00:03:55] いたします
[00:03:57] 1契約の目的でありますが
[00:04:01] 駅前周辺再整備駅北側駐車場整備工事で
[00:04:05] ございます
[00:04:07] 2契約の方法は3者による指名競争入札で
[00:04:11] ございます
[00:04:13] 3契約の金額
[00:04:16] 1億8733万円
[00:04:20] 4契約の相手方といたしまして
[00:04:23] 新得町2条南1丁目1番地
[00:04:27] 上村土建株式会社
[00:04:30] 代表取締役社長上村健成でございます
[00:04:36] なお工期は令和9年12月20日として
[00:04:40] おります
[00:04:41] 2ページ以降に資料といたしまして工事
[00:04:44] 概要並びに図面を添付しております
[00:04:48] 以上で説明を終わりますがご審議のほど
[00:04:51] よろしくお願い申し上げます
[00:05:06] これから質疑に入ります質疑がありまし
[00:05:08] たら発言を許します
[00:05:12] これをもって質疑を終結いたします
[00:05:15] 本件について討論はありませんか
[00:05:21] 討論はないようですんでこれから議案第
[00:05:23] 55号を採決いたします
[00:05:26] 本件は議案の通り決することに賛成議員の
[00:05:29] 挙手を求めます
[00:05:33] 挙手全員でありますよって議案第55号は
[00:05:38] 議案の通り可決されました
[00:05:41] 日程第3
[00:05:43] 議案第56号工事請負契約の
[00:05:47] 締結についてを議題といたします提案者
[00:05:50] から提案理由の説明を求めます福原総務
[00:05:53] 課長
[00:05:54] はい
[00:06:00] [笑い]
[00:06:08] 議案第56号
[00:06:10] 工事請負契約の締結につきましてご説明を
[00:06:14] いたします
[00:06:16] 1契約の目的でありますが
[00:06:19] 木屋林橋梁天下換更新工事でございます
[00:06:25] 2契約の方法は3者による指名競争入札で
[00:06:29] ございます
[00:06:31] 3契約の金額
[00:06:33] 5808万円
[00:06:36] 4契約の相手方といたしまして
[00:06:39] 新得町3条南1丁目5番地
[00:06:43] 株式会社岩野建設
[00:06:46] 代表取締役社長岩野充でございます
[00:06:51] なお工期は令和9年1月20日としており
[00:06:55] ます
[00:06:57] 2ページ以降に資料といたしまして工事
[00:07:00] 概要
[00:07:01] 並びに図面を添付しております
[00:07:05] 以上で説明を終わりますがご審議のほど
[00:07:08] よろしくお願い申し上げます
[00:07:24] これから質疑に入ります質疑ありましたら
[00:07:27] 発言を許します
[00:07:30] これをもって質疑質疑を終結いたします
[00:07:34] 本件について討論はありませんか
[00:07:37] 討論はないようですんでこれから議案第
[00:07:41] 56号を採決いたします本件は議案の通り
[00:07:44] 可決することに
[00:07:46] 賛成議員の挙手を求めます
[00:07:50] 挙手全員であります
[00:07:52] よって議案第56号は議案の通り可決され
[00:07:56] ました
[00:07:59] 日程第4議案第57号
[00:08:03] 物品購入契約の締結についてお諮りと
[00:08:06] いたします
[00:08:08] 提案議案者から提案理由の説明を求めます
[00:08:11] 不破留村課長
[00:08:12] はい
[00:08:27] 議案57号物品購入契約の締結につきまし
[00:08:31] てご説明をいたします
[00:08:34] 1契約の目的でありますが
[00:08:37] 除雪ドーザーの購入でございます
[00:08:40] 2購入契約をする物品名及び数量は
[00:08:45] 除雪ドーザー13t級車輪式
[00:08:49] マルチマルチプラウ簡易脱着装置付き1台
[00:08:53] でございます
[00:08:56] 3型式は日立YDR
[00:08:59] NTLAでございます
[00:09:03] 4契約の方法は3者による指名競争入札で
[00:09:07] ございます
[00:09:09] 5契約の金額2860万円
[00:09:14] 6契約の相手方といたしまして
[00:09:17] 帯広市西22条北1丁目
[00:09:21] 2番28号
[00:09:23] 北海道川崎建機株式会社
[00:09:26] 帯広支店
[00:09:28] 支店長堀田貴大でございます
[00:09:32] なお納期は令和9年3月31日としており
[00:09:36] ます
[00:09:39] 2ページ以降に資料といたしまして外観図
[00:09:43] を添付しております
[00:09:45] 以上で説明を終わりますがお審議のほど
[00:09:48] よろしくお願い申し上げます
