# source: https://www.youtube.com/watch?v=fzEjguY0KsM
# video_id: fzEjguY0KsM
# fetched: 2026-09-23T11:41:09.836Z
# segments: 410

[00:01:09] 終を行います。
[00:01:12] おはようございます。本日は全員の出席でございます。
[00:01:23] ただ今から本日を持って集されました
[00:01:27] 8年臨時第
[00:01:29] 3
[00:01:29] 回新徳議会を開会いたします。直ちに会議を開きます。議長において
[00:01:40] 作成いたしました本日の事日はしお手元に配布通りであります。第
[00:01:47] 1位会議録署名議員の名を行います。
[00:01:52] 会議録署名議員は会議規則10第127条
[00:01:57] の規定により議長において8番若杉正議員
[00:02:02] 9番原智議議員を指名いたします。
[00:02:07] 日程第2会機の決定を議題といたします。
[00:02:12] お諮かりいたします。今臨事会の会議は
[00:02:15] 本日1日といたしたいと思います。
[00:02:18] にございませんか?
[00:02:27] 意義なしと認めます。よって会議は本日
[00:02:30] 1
[00:02:31] 日と消しました。書犯の報告は朗読を省略します。お手元に配布した通りでありますのでご了承願ます。次に長から制報告の申し出がありますのでこれを許します。
[00:02:47] 町長ご登答願ます。
[00:03:02] 令和8年定例第2回長議会以降における
[00:03:06] 初犯の行政をご報告いたします。行政報告
[00:03:10] 1ページをご覧ください。
[00:03:13] 6月8日水道下水道事業審議会より今後の
[00:03:18] 事業運営に関する答申いたしました。本庁
[00:03:22] の上下水道事業におきましては安全で安心
[00:03:26] な水の安定供給及び適切なお水処理を継続
[00:03:31] していくため経営の健全化と持続可能な
[00:03:34] 事業基盤の確立をしていかなければなり
[00:03:37] ません。このような状況を踏まえ指問をさ
[00:03:40] せていただいたところでございます。審議
[00:03:43] 会におかれましてはこれまで多格的な視点
[00:03:46] から身長かつ勢力的にご審議を重ねて
[00:03:49] いただき、この度委員長より答申い
[00:03:54] たものであります。町といたしましては
[00:03:57] 答申止め
[00:03:58] 検討を進めてまいりたいと考えております
[00:04:00] 。次に記載はございませんが2点ご報告さ
[00:04:05] せていただきます。
[00:04:07] 初めに新徳認定子供園において提供された
[00:04:11] 給職に異物が購入する事案が続けて発生
[00:04:14] いたしました。幸いにして本件に起因する
[00:04:18] 健康被害は確認されておりませんが子供
[00:04:22] たちの安全を守るべき立場にありながら
[00:04:24] 縁並びに保護者の皆様に多大なる不安とご
[00:04:29] 迷惑をおかけいたしましたことを深くお
[00:04:31] 詫び申し上げます。
[00:04:37] 町といたしましては職の安全安心を担保
[00:04:41] するため再発防止策を徹底してまいります
[00:04:44] 。なお本事案の経緯、原因、具体的再発
[00:04:48] 防止策につきまして、保護者の皆様に直接
[00:04:51] ご説明し、ご意見をいただくため、本日7
[00:04:55] 月6日に保護者説明会を開催する予定で
[00:04:58] ございます。信頼回復に向け誠意対応を
[00:05:03] 尽くすとともに安全管理体制の徹底に全力
[00:05:07] を上げて取り組んでまいります。次に
[00:05:11] 北海道が実施しております生活応援
[00:05:14] ポイント寄付事業において本長文の世帯主
[00:05:18] に一部不一致があった件についてご報告
[00:05:21] いたします。本事業は6月25日から申請
[00:05:26] 受付が開始されたものでありますが、本庁
[00:05:29] 在住の世帯主の方よりエラーになり申請
[00:05:32] できない旨の相談が寄せられました。原因
[00:05:35] を調査いたしましたところ、本長から同の
[00:05:38] 事務局へ提供したデータに一部謝りがある
[00:05:42] ことが判明したものでございます。なお、
[00:05:45] 本件による個人情報等の輸出はございませ
[00:05:47] ん。現在はすでに正しいデータを事務局へ
[00:05:51] 再提出し、正常にポイントの受け取りが
[00:05:54] できる状態へと復旧しております。しかし
[00:05:57] ながら一部の町民の皆様には多大なるご
[00:06:01] 不便とご迷惑をおかけいたしましたことを
[00:06:03] 深くお詫び申し上げます。こうした事案の
[00:06:06] 重なりは町民の皆様の信頼を揺がす事案で
[00:06:10] あると危機感を抱いているところでござい
[00:06:12] ます。今一度職員全員責任の重さと公務員
[00:06:16] としての原点をそれぞれが見つめ直し日々
[00:06:19] の業務に真摯に当たるよう徹底して参る
[00:06:22] 所存であります。以上で行政報告といたし
[00:06:25] ます。
[00:06:42] 日程第3議案第61
[00:06:45] 号計約の変更についてを議題といたします。提案者から提案の説明を求めます。福原務課長。
[00:06:54] はい。
[00:07:08] 議案第61号工事受け契約の変更について
[00:07:13] ご説明申し上げます。
[00:07:17] 2ページをご覧ます。
[00:07:22] 提案理由でありますが、設計内容の見直し
[00:07:26] に伴う変更賃金物価水準の上昇による
[00:07:31] インフレスライドの適用、資材の価格高等
[00:07:35] に対する単品スライド情報の適用
[00:07:39] 並びにこれらに伴う後期の延長により契約
[00:07:43] を変更しようとするものであります。
[00:07:47] 変更工事概要につきましては3ページを
[00:07:50] ご覧願います。
[00:07:53] 1ページに戻っていただき、
[00:07:56] 1契約の目的
[00:07:59] 駅前周辺整備音欲宿泊施設建設工事建築
[00:08:06] 主体でございます。
[00:08:08] 2契約の金額変更前10億4390万円
