# source: https://www.youtube.com/watch?v=aBHABXJ8-tA
# video_id: aBHABXJ8-tA
# fetched: 2026-09-23T11:57:22.026Z
# segments: 1777

[00:00:45] 行います。
[00:00:48] おはようございます。
[00:00:58] え、本日は全員の出席でございます。ただ今まから新徳長各会計入出決算特別委員会を開会いたします。ちに会議を開きます。
[00:01:17] 本委員会に付託されました認定第1号令和
[00:01:23] 7年度新得庁各会計歳入歳出決算認定に
[00:01:29] ついてを議題といたします。
[00:01:32] え、ただ今から決算審議に入ります。最初
[00:01:37] に
[00:01:41] 決算審査に入ります。最初に付属資料
[00:01:46] 関西検証等も提出されておりますので、
[00:01:51] 一般的総括的質疑をお受けし、それから歳
[00:01:57] 入出決算書の審査に入りたいと思います。
[00:02:01] これにご異議ありませんか?
[00:02:07] はい。
[00:02:09] え、議事に入る前に委員長よりお願いが
[00:02:13] あります。
[00:02:15] 質疑答弁は官明完結に行うように、また
[00:02:21] 質問は一項目につき3回までとして進め
[00:02:25] たいと思いますので、皆様のご協力のほど
[00:02:29] よろしくお願いいたします。
[00:02:33] え、それでは総括事項についての質疑をお
[00:02:36] 受けいたします。質疑がありましたら発言
[00:02:39] を許します。
[00:02:42] 中村議員議員
[00:02:46] はい。えっとですね、え、有施設、公共施設の今後のあり方についてお伺いたします。ま、新徳長、人口減少はも漏れなく起きているわけですが、え、人口減少の中でですね、やっぱりその維持管理、修繕、更新、最終的には解体用等々施設であります。
[00:03:05] そういった中で、ま、人口規模に合わせた
[00:03:07] 運営というのが必要になってきますが、ま
[00:03:10] 、多分もう色々と考えられてはいると思う
[00:03:13] んですが、今後腸として、え、公共施設
[00:03:15] 全体の規模をどう適正に運営していくか、
[00:03:18] または、ま、機能の等配背合、また機能
[00:03:21] などをどのような方向で考えているかお
[00:03:24] 伺いいたします。
[00:03:29] 福原総務課長
[00:03:31] はい。
[00:03:33] え、中村委員のご質問にお答えいたします
[00:03:36] 。え、今現在新徳庁の方ではですね、あの
[00:03:39] 公共施設等総合管理計画っていうものを
[00:03:43] 作成しております。当然今委員の言われた
[00:03:46] 通り人口減少が進む中で今の公共施設の
[00:03:49] 規模がいいのか、それから大規模回収が
[00:03:53] いいのか、立替えがいいのか、そういった
[00:03:54] 個別につきましてはですね、え、ま、配置
[00:03:57] と管理運営そういった諸々のことを検討し
[00:03:59] ながら、え、既然の施設を改善をした方が
[00:04:02] いいという方針が出れば、あの、中身の方
[00:04:05] のボイラーとか大規模の方をですね、回収
[00:04:08] していくというような形を考えております
[00:04:11] 。
[00:04:11] いずれにしましても人口減少が進む中、今の規模を維持するというのはなかなか難しい、え、状況だと思われます。え、管理運営のスリム化、え、それから効率化を求めて、え、今後回収計画の方を進めていきたいと思っております。以上です。
[00:04:29] はい、中村委員。
[00:04:32] ありがとうございます。ま、あの、この今
[00:04:34] 進めていくというとこで、えっと、もう1
[00:04:36] つですね、ま、あとそういった施設なん
[00:04:38] ですけれども、ま、運営方法というのも
[00:04:41] 少しちょっと見直しが必要かなという考え
[00:04:43] ておりまして、えっと、例えばですね、ま
[00:04:46] 、利用人数が減ってきたりすると、ま、空
[00:04:48] の時間が増えるで、例えばあの、総合体感
[00:04:51] とかですと、あの、非常に
[00:04:55] 修学旅行とか、え、大会といった1度に
[00:04:58] 入る人数というのは非常に多いのですが、
[00:05:00] 平事であると、ま、本当に12時間入るか
[00:05:03] 入らないか、そういった非常に波のある質
[00:05:05] なんかもあります。また、ま、いろんな
[00:05:08] 管理の方なんかもずっと在中してたりする
[00:05:10] と、ま、空の時間ができるそういったもの
[00:05:13] を少し見直していくということも、ま、
[00:05:15] 可能ではないかなと思います。例えば、
[00:05:17] えと、ま、受付、業務、予約といったもの
[00:05:20] は一本化していくとか、またはその常に
[00:05:23] 上駐するという形ではなく、ま、ま、仮に
[00:05:27] 、え、総合体育館であればほとんどが予約
[00:05:29] で動いてるので予約に合わせて管理人が、
[00:05:33] え、ま、そんな時に合わせて、ま、開く
[00:05:36] 施設を開くといった、ま、流動的な働き方
[00:05:39] もあるのではないかなと思います。
[00:05:41] ま、もちろんこれ、え、正解がない運営方法ですので、ま、そういったところも検討していってはいかがでしょうか。お願いします。福原総務課長。
[00:05:54] え、中村委員のご質問にお答えいたします。今言われた通りですね、あの、
[00:05:54] [鼻息]
[00:05:58] 6
[00:05:59] 級化による立え更新だけではなくて管理の状態どういう風にスり向かかるかっていうのは施設を考えながらですね、利用状況と含めて検討はしていきたいと思っております。
[00:06:05] [鼻息]
