# source: https://www.youtube.com/watch?v=bTItSDksk10
# video_id: bTItSDksk10
# fetched: 2026-09-23T12:14:44.770Z
# segments: 1338

[00:00:51] いたします。
[00:00:54] これって。
[00:00:55] あ、はい。はい。
[00:01:00] それでは休憩を時再開いたします。え、予算書の
[00:01:04] 177ページから187ページまでの第7
[00:01:08] 巻商行費全般についてご発言ください。桜大員
[00:01:14] はい。えっと181ページの、えっと
[00:01:22] 、駅前地域交流センター等、え、指定管理
[00:01:26] 業務委託量ということでと、ま、これ何度
[00:01:31] も言ってて本当にあの
[00:01:35] 何度も言ってる、え、利用者数に関してな
[00:01:37] んですけど、えっとこの利用者数、え、特
[00:01:41] に関して16万2479
[00:01:46] 人と、え、利用者集になっていまして、ま
[00:01:49] 、これがですね、ま、自動ドアの開閉
[00:01:51] カウントしているということがですね、
[00:01:53] 町民の方にもだいぶ疑問を持たれていまし
[00:01:56] たので、えっと、
[00:01:59] ま、そこでですね、ま、年間16万人、
[00:02:01] えっと、集める施設ってどういうところな
[00:02:03] のっていうところなんですけど、え、調べ
[00:02:06] たら、ま、まずはですね、え、ま、全国
[00:02:09] から観光客やですね、修学旅行生が殺当
[00:02:12] する弱
[00:02:14] え、つば宇宙センターの展示館とかですね
[00:02:17] 。あと東北全域の親子が集まる、え、超
[00:02:21] 大型のテーマパークのようなあの自動館が
[00:02:23] ありまして、岩手子供の森なのですね。
[00:02:26] あとは人口20万規模の20万人規模の、
[00:02:29] ま、中核都市の、え、中央図書館と、え、
[00:02:33] 同水準の規模であります。で、この16万
[00:02:38] 人集めるってこのぐらいの施設の大きさ
[00:02:42] だったりとか規模感の数字っていうことな
[00:02:46] んですね。で、ま、明らかに実態と
[00:02:48] 駆け離れている利用者数で、で、広報士に
[00:02:52] も代々的に16万2000人来ました
[00:02:56] みたいな感じで書かれてあったっていうの
[00:02:58] もありますし、あとですね、え、行政から
[00:03:02] もらった決算資料にありました事業効果の
[00:03:06] 説明っていうところで、え、駅前を中心と
[00:03:09] した街中の賑いの喪失が測られたって書い
[00:03:14] てあります。で、えっと、ま、旗からです
[00:03:18] ね、新しい施設を作って、え、年間16万
[00:03:22] 人来るような賑いを、え、賑いの、そ、え
[00:03:27] 、喪失が測られたとなっておりますので、
[00:03:31] ま、さかしい立派な種物でとんでもない
[00:03:35] 人数が来るんだなっていうことが、ま、
[00:03:39] 思ってる方、あの、あの、思っちゃうと
[00:03:42] 思うんですけど、ま、これ明らかに誤解だ
[00:03:45] と思うんです
[00:03:45] ですけど、その辺りこう町としてどう思っているのかちょっとお伺いたします。
[00:03:57] 詐証観光課長補佐
[00:04:00] はい。え、桜田大委員の、え、ご質問にお答えいたします。
[00:04:04] え、現在、あの、特はですね、あの、
[00:04:08] おっしゃる通り、え、人数のカウントに
[00:04:10] つきましてはエレベーターの開閉で
[00:04:13] カウントを取っている自動、自動ドア、
[00:04:15] ごめんなさいね。自動ドアの、え、開閉
[00:04:18] カウントを取っているわけでございます。
[00:04:21] え、実際にもしあそこの人数を正式に図る
[00:04:25] ということにもしなってしまうとですね、
[00:04:29] あの、少しあの、ま、人も必要ですし、ほ
[00:04:33] 、あの、もう少しあの、制度の高い、え、
[00:04:37] 仕方もあるかもしれませんが、現状はそう
[00:04:40] いう形で、え、進めているのがあの、今の
[00:04:45] 状態でございます。え、確かに人数は実態
[00:04:50] と駆け離れているとは私は、あ、そ、ま、
[00:04:54] 駆け離れてるかもしれませんけれども、
[00:04:57] あの、町内、長外の方に一応浸透はされて
[00:05:01] いる建物で魅力ある建物かなと、えっと、
[00:05:04] 町としては自でございますので、えっと、
[00:05:07] 今の状態で進めていく考えではございます
[00:05:10] 。以上です。
[00:05:14] 桜大員、[咳払い]
[00:05:16] ありがとうございます。
[00:05:18] えっと、ま、
[00:05:22] その、なんて言うんですかね、この他の
[00:05:24] 例えば、え、長外の方にこう説明する時に
[00:05:28] でもですね、えっと、ま、この新しく作っ
[00:05:31] た施設が、ま、年間16万人も利用されて
[00:05:34] いる、ま、とても賑わっている施設だって
[00:05:36] いう、えっと、説明を今後していくのかと
[00:05:40] 思うんですけど、実際問題こう
[00:05:44] そのようなこうことを言ってですね、こう
[00:05:46] 、なんて言うんですかね、こう本当の本当
[00:05:49] のことって言ったら失礼なんですけど、
[00:05:51] あの正しい情報じゃないことを広めるのっ
[00:05:55] て根本的にこう行政としていいのかなって
[00:05:59] いうのがこうとてもありまして、あの
[00:06:03] そのドアの開閉利用者数をカウントするっ
[00:06:08] ていうこと自体がなんかそもそもなんか
[00:06:12] こう、ま、統計学にそんな詳しいわけじゃ
[00:06:14] ないんですけど、ま、それは本当にいいの
[00:06:17] かなっていうのがこう基本的な疑問として
[00:06:20] ありまして、ま、それをこう長の方だっ
[00:06:23] たりとか色々アピールポイントにする時に
[00:06:25] 、えっと、ま、うちの特は16万人年間で
[00:06:29] 来てるんです。で、1日445人来てるん
[00:06:33] ですっていう説明を、え、自信を持って
[00:06:36] できるのかっていうところをちょっともう
[00:06:37] 1度お受けしたいなと思いまして、ま、
[00:06:39] それが行政の本当の答えだと思いますんで
[00:06:41] 、ま、ちょっとそこもう1度自信を持って
[00:06:44] 、こう今後自分もアピールしていっていい
[00:06:46] ものなのかどうなのかっていうところを
[00:06:48] ちょっとお伺いしたいなと思います。
[00:06:59] 坂証課長補佐
[00:07:02] はい。え、ご質問にお答えいたします。え、桜田委員のおっしゃることも確かにあのもちろんあの分かりことではございます。あの他の町村やそうあのま類似施設じゃないですけれどもう風にカウントを取っているかていうのもちょっとあの調べさせていただいて、え、正しい方向に進むよう、え、ちょっと勉強させてきたいと思います。
[00:07:28] よろしくお願いいたします。はい。他にありませんか?斎藤委員。
[00:07:41] はい。2点お伺いたします。
[00:07:43] え、まず178
[00:07:46] ページ
[00:07:47] 故郷納税寄付変例品費、え、2点目が
[00:07:52] 180ページ。
[00:07:56] 駅前商店街並景官形成事業補助金。こちら
[00:08:01] 2点についてお伺いいたします。え、まず
[00:08:05] 故郷納税寄付変例品なんですけども、予算
[00:08:10] 額の方が2400万。え、決算額が
[00:08:13] 1100万、え、率にして約52%大幅な
[00:08:18] 源となっております。え、もちろんあの
[00:08:22] フル納税の申し込みが低かったんだろう、
[00:08:26] 少なかったんだろうというのは考えられる
[00:08:29] んですけども、え、予算額の半分以下の
[00:08:35] 決算額執行されなかったっていうことに
[00:08:39] ちょっと疑問を持ちまして、え、この辺の
[00:08:42] 事情を分かる限りお知らせいいただきたい
[00:08:44] んですが、お願いいたします。
[00:08:50] もう1つ、もう1つ。
[00:08:51] あ、はい。すいません。え、駅前商店街並警官形成事業補助金、え、こちら予算の方
[00:09:00] 450万上が上がっております。
[00:09:02] え、ですけども、あの、申し込みの方あり
[00:09:05] ましたのが一軒のみ、え、
[00:09:07] 12万7000円の執行ということで、え
[00:09:11] 、もちろんあの候補等のPRもされてい
[00:09:14] るっていうのは分かってるんですけども、
[00:09:16] え、町としてあの駅前周辺の景官維持に
[00:09:19] 対して、ま、あの、個別へのプッシュです
[00:09:22] とか、その辺のPRっていうのが、え、
[00:09:26] かなり低かったんではないかっていうこと
[00:09:28] をちょっと器具いたしました。この2
[00:09:30] 点についてよろしくお願いいたします。
[00:09:34] 坂商候観光課長補佐
[00:09:38] [咳払い]
[00:09:38] はい。え、斎藤委員のご質問にお答えいたします。故里納勢なんですけれども、確かに、え、予算額に対して半分ぐらいの、え、変品費の、え、支出のことになってございます。
[00:09:51] え、原因といたしましては、え、当初予算
[00:09:53] では1億円約1億円ぐらいの、え、なんて
[00:09:57] 言うんでしょう?[咳払い]収入寄付金が
[00:09:59] いただけるという想定で、え、変例品を
[00:10:03] 予算付けしたという形になりまして、ま、
[00:10:06] こういう形になったっていうのが現状で
[00:10:08] ございます。え、2点目、街並の、え、
[00:10:12] 補助金の関係の、え、PRちょっと不足し
[00:10:15] てたんではないかっていうお話ですけれど
[00:10:17] も、え、広報やですね、え、ま、商公会や
[00:10:21] 、え、いろんなその、ところでPRはさせ
[00:10:25] ていただきました。ただ個別への、え、
[00:10:29] 全底そこのエリアのですね、ところに行
[00:10:32] くっていうことは、え、してはい、あ、し
[00:10:37] てます。ごめんなさい。してます。はい。
[00:10:39] ま、ただその焦点のあの色々なそのご事情
[00:10:43] それぞれございますので、ま、たまたま
[00:10:46] 今回はそれが削わなかって今年はこの、え
[00:10:50] 、実績になったのかなと思います。え、
[00:10:54] 789の3加年の次立法なものです。ま、
[00:10:57] 8年度、え、9
[00:10:59] 年度まだございますので、その辺私たちも、え、駅前を賑、賑やかにする、えていうところで、え、もうちょっと
[00:11:07] PR
[00:11:08] していこうかなとは思ってございます。以上です。
[00:11:11] [鼻息]
[00:11:12] 斎藤委員。
[00:11:15] はい。ありがとうございます。え、町並警官形成補助金についてついては理解しました。
[00:11:22] え、あと千葉さんの、え、故郷納税の変例
[00:11:26] 金の件なんですけども、あの、故郷納税額
[00:11:29] が増えるっていうことは、あの、大切な
[00:11:32] 税収も増えるっていう観点からも、あと
[00:11:35] 合わせて磁場品の販売という観点でも大変
[00:11:38] 重要なものだと思っておりますので、
[00:11:41] 引き続き行政の方のお力とまた民間の
[00:11:45] 私たちの方でもPR含めて頑張って、あの
[00:11:49] 、街の宣伝をしていきたいと思い
[00:11:52] のでよろしくお願いいたします。以上です。
[00:11:57] 詐観光課長はい。さて斎藤委員のご質問にお答えいたします。え、もちろん農勢はですね、え、故里新徳に、え、思いを寄せて寄付してただいてる、え、大切な状態材でございます。
[00:12:15] え、今年度、え、ま、中間事業ということ
[00:12:18] で、え、故郷納税を取り切る中間事業者は
[00:12:22] 、ま、ちょっと変えまして、え、去年に
[00:12:25] 比べてですね、約15%ほどフル納税の方
[00:12:28] の寄付金は増えているような現状でござい
[00:12:31] ます。え、ま、[鼻息]それに、え、甘え
[00:12:33] ずですね、今後も、え、目標を高く、え、
[00:12:38] それぞれ新徳長の古さ勢
[00:12:41] PRして、え、町民のは、あ、長の発展に
[00:12:45] することを、え、していきたいと考えて
[00:12:48] おります。以上です。はい。
[00:12:51] 他ありませんか?中村委員
[00:12:56] は180、あ、2つございます。183
[00:13:00] ページの新徳深層祭りの補助と、え、
[00:13:05] 185ページ東素との指定管理車両につい
[00:13:09] てです。え、まず新徳新ソ祭りについて
[00:13:12] です。え、新徳新ソ祭り、ま、新徳を代表
[00:13:14] する1台イベントだと思います。ま、ま、
[00:13:17] え、街としても、まあ、今回1万人、え、
[00:13:20] まあ、1万職ですかも準備するとして、ま
[00:13:23] 、大量に人も入ってくるお祭りではあるん
[00:13:25] ですけれども、えっとですね、ま、今後5
[00:13:28] 年後、10年後、ま、内手のこともあり
[00:13:31] ます。果たして今と同じ形で維持できるか
[00:13:34] どうか、そこをどのように考えているか、
[00:13:36] え、ご意見をお伺いいたします。それと
[00:13:39] 友達温泉指定管理車両支払われていると
[00:13:42] 思います。で、今、あの、こ、え、少数
[00:13:44] 水力発電の、ま、計画というのを立たれる
[00:13:47] と思うんですけれども、え、その時に発電
[00:13:49] した電気ですね、ま、設備当初しまして
[00:13:53] 発電した電気は、ま、新徳のもので、それ
[00:13:56] を友し温泉に無償で提供する形になるのか
[00:14:01] 、それともその分指定管理車両が減ると
[00:14:04] いった形になるのか、または、ま、電気を
[00:14:07] うん、友達、ま、校舎に売るという形に
[00:14:10] なるのか、ちょっとその辺りお伺い
[00:14:12] いたします。
[00:14:24] 勝田商観光課長。
[00:14:26] [咳払い]
[00:14:26] はい。あの、新場祭りについて私の方からご答弁させていただきます。
[00:14:31] 今、あの、引っしゃる通りですね、
[00:14:32] なかなか、え、人の問題っていうのが、ま
[00:14:36] 、どこいろんなところで課題になってるん
[00:14:38] ですが、ま、あの、そばの打ち手に関して
[00:14:40] も同じような形で、え、認識はしており
[00:14:43] ます。あの、新ば祭りの方もですね、え、
[00:14:47] 昨年今年8団体出ていただく予定になって
[00:14:50] ございます。あの、昨年度からですね、え
[00:14:54] 、今まで内していた団体もですね、長外の
[00:14:58] 方も可能だよという形で、え、の変更には
[00:15:04] してございます。また幅広くですね。え、
[00:15:08] それでちょっと施設の施設というか会場の
[00:15:12] 関係もあってですね、今マックスちょっと
[00:15:14] 9団体しかそば打ち団体出せないような
[00:15:18] 状況になってございますので、その辺のま
[00:15:20] 、どういう形でできるかっていうのも含め
[00:15:22] てですね、幅広くPRするとともにですね
[00:15:25] 、やっぱり地元の方に出ていただくって
[00:15:28] いうことは大事なことなのかなと思います
[00:15:30] ので、その辺の人材育成ですね、どういう
[00:15:33] 風にやってくかっていうのも今後、え、
[00:15:35] 引き続き考えていきたいという風に
[00:15:37] 思っております。え、そば松については私から以上の通りでございます。
[00:15:43] 詐観光課長さん。
[00:15:46] はい。私からはもう1
[00:15:47] 点のあの村音泉の少水力発電の関係で、え、ご説明をさせていただきます。え、消水力発電で、え、生じたその発電の電気をですね、戸市温泉の方に確かに還元します。
[00:16:01] で、例えば今の予定ですけれども、え、その分、え、指定管理量も、え、ま、減らすという考えではいます。はい、以上です。
[00:16:02] [鼻息]
[00:16:10] [鼻息]
[00:16:14] 中村委員。
[00:16:16] はい。え、電気代分、ま、指定管理車両が、あ、すいません。少数力発電の先に、え、指定管理車両が減るということで、ま、あの、少数力発電かなり長く持つというところで、ま、ま、腸のためになるのかなと思いました。理解しました。
[00:16:30] で、えっと、深ソ祭りなんですけれど、ま
[00:16:32] 、あの、ま、広く幅広く取るということ、
[00:16:34] ま、人材育成というところもあるという
[00:16:37] ところでした。で、あとちょっと1点だけ
[00:16:39] 確認したいことがありまして、あの、商標
[00:16:41] の問題で新徳そばは確か腸では
[00:16:45] 保有していない1企業によって保有されて
[00:16:48] いるかと思います。で、ま、なかなかこう
[00:16:50] やって1台イベントをかなり1企業に
[00:16:52] 載しかかっているという現状、ま、
[00:16:55] プレッシャーなかなか環境も厳しい現状に
[00:16:57] あるのかなっていうので、ま、どこまで蝶
[00:17:00] としてそういったうん、負担を減らせるか
[00:17:03] というの1つあると思います。あともう1
[00:17:05] つなんですけれども、あの、ま、今町内
[00:17:08] からも、ま、募集かけてるっていうところ
[00:17:11] で、あの、ま、最近のお祭りの携帯、ま、
[00:17:15] 蝶が今一生懸命テントとか立て
[00:17:17] てらっしゃるとは思うんですけども、最近
[00:17:19] のフェスティバルなんかもうみんな若い人
[00:17:21] ですと、テント自分たちで持って、ま、
[00:17:23] セッティングも全部自分たちでやる。そう
[00:17:25] いったものが主流になってきて、ま、逆に
[00:17:27] そういったものたちが新しいデザインとか
[00:17:30] 文化を持ち込んでくる、そういったものも
[00:17:32] あります。
[00:17:33] そばに関しては多分法的なものもかなり
[00:17:36] あると思うので、ま、それ以外のところ
[00:17:38] からもちろんキッチン感もそうですね、
[00:17:41] あの、ま、え、場所だけ指定してもらえれ
[00:17:43] ばもう若い人たちあと自分たち全部準備
[00:17:45] できますよと。そういったかなり
[00:17:46] フットワークの軽い、ま、お祭りの形帯と
[00:17:49] いうのもあるので、少しずつそういった
[00:17:50] ものを導入していってもいかがでしょうか
[00:17:52] 。失礼します。
[00:17:57] 残休憩いたします。
[00:17:58] の関係って何かどういうちょっとよく聞き取れなかったんですけど商標の関係ってよく聞取れなかった
[00:18:09] [咳払い]
[00:18:10] いやで答えなきゃだめなどご質問なのかの
[00:18:15] [咳払い]
[00:18:17] 消は企業はいはい
[00:18:20] うん
[00:18:20] ではその企業がま企業の経営とかそういうことは出がまどうし
[00:18:29] あ、松で休憩してる。
[00:18:33] あ、いや、分かりました。い、
[00:18:34] はい、
[00:18:36] 大丈夫。はい、わかりました。はい。はい。あ、休憩再開いたします。え、桂田商観光課長。
[00:18:45] はい。あの、引っしゃる通り新徳そばって
[00:18:48] いうのは、あの、商標登録されております
[00:18:50] ので、その部分については新徳省としても
[00:18:53] そばっていう形でのなんちうのかな、PR
[00:18:56] 含めてそういうのは行ってはいないです。
[00:19:00] ですんで、今後についても新徳新祭りと
[00:19:03] かっていう形でのPRになるのかなって
[00:19:06] いう風にそこについては、え、そういう形
[00:19:09] ですので、ま、他の団体の方も新徳そば
[00:19:13] っていうような多分使い方はされてないの
[00:19:16] かなと認識をしているところでございます
[00:19:18] 。あの、またイベントにつきましてですね
[00:19:21] 、今インカもありましたが、ちょっと
[00:19:23] いろんなうん、なんて言うのかな、形、ま
[00:19:27] 、引っしゃった通り、え、テント持ち込み
[00:19:30] 、ま、あの、
[00:19:34] キッチン、キッチンカーとかっていうよう
[00:19:36] な取り組みもあるのかなとは思いますが、
[00:19:39] ちょっとそれがまた相ば祭りに、あの、
[00:19:42] そのままうまく合致するのかっていうのも
[00:19:44] 含めてですね、毎年そば祭りの方も終わり
[00:19:47] ましたら反省会っていうのを開い
[00:19:49] おりますので、またその中でですね、え、より良い、え、そば祭りっていうのをどういう風に来年以降続けられるかっていうのも含めて委員の皆さんとですね、え、考えていきたいという風に思っております。以上でございます。
[00:20:05] はい。他にありませんか?福原。
[00:20:11] [咳払い]
[00:20:12] はい。あの、今の東大切の指定管理量、
[00:20:16] 水力発電の電気量っていう話で、今の答弁
[00:20:21] あの将来的に指定管理量の増額ということ
[00:20:25] も視野に入れてということも答弁にあった
[00:20:28] と思うんですけども、あの、基本的に指定
[00:20:30] 管理量が発生するということは公共の公け
[00:20:34] の立場で関する部分について腸が負担する
[00:20:38] という考え方だろうと思うんです。で、
[00:20:42] 地代ですとか建物建設費あるいはあの
[00:20:46] 動力熱費に関する分については大やけの
[00:20:49] 部分になると思いますのでその負担につい
[00:20:52] ては超がするものと考えております。で、
[00:20:56] その延長上でそれを原因として警戒ができ
[00:20:59] た時に指定管理量の減額っていうのは将来
[00:21:02] 発生する可能性があると思うんですが、
[00:21:05] そこのあの因果関係についてよく交通整理
[00:21:08] をちょっとしておいて欲しいなと思います
[00:21:10] が、
[00:21:14] 勝田商観光課長
[00:21:17] はい。お答えいたします。あの、今少水力
[00:21:20] の方につきましては大体700万円ぐらい
[00:21:23] の電気量になるっていうことになるので、
[00:21:25] ま、その分についてはあの、え、東大切の
[00:21:28] 支出の方は減るのかなという風に考えて
[00:21:30] おります。ま、今言いからもありました
[00:21:33] 通り、え、指定管理量っていうのが単純な
