# source: https://www.youtube.com/watch?v=Ib5TgHKlAps
# video_id: Ib5TgHKlAps
# fetched: 2026-09-03T22:43:28.044Z
# segments: 930

[00:00:31] 終を行います。
[00:00:34] おはようございます。
[00:00:43] 本日は全員の出席でございます。ただ今から本日を持って集されました
[00:00:50] 8年定例第
[00:00:52] 3回新徳議会を開会いたします。
[00:01:00] 直ちに会議を開きます。議長において作成
[00:01:03] いたしました。本日の議事日程は別お手元
[00:01:08] に配布した通りであります。日程第1会議
[00:01:13] 録署名議員の使名を行います。会議録署名
[00:01:17] 議員は会議規則第127条の規定により
[00:01:23] 議長において10番中村優太議員11番
[00:01:28] 青柳市議員を指名いたします。日程第2
[00:01:33] 会機の決定を議題といたします。今期定例
[00:01:37] 会の会議については議会運営委員会に協議
[00:01:41] をお願いしておりますのでその結果を委員
[00:01:44] 長から報告願います。
[00:01:46] 若杉正議会運営委員長
[00:02:08] 庁の指名により議会運営委員会における
[00:02:11] 協議の結果についてご報告申し上げます。
[00:02:17] 本日招集になりました第3回定例長議会の
[00:02:21] 会議につきましては去8月21日午前10
[00:02:27] 時から議員被控室において議会運営委員会
[00:02:31] を開催し
[00:02:33] 提出予定の議の説明を受け
[00:02:37] を勘案し日程等について審議を行いました
[00:02:41] 。
[00:02:43] その結果会機は本日から9月18日まで
[00:02:49] 18日間とし
[00:02:52] その間の会議の等については別予定表の
[00:02:58] 通りであります。以上報告を終わります。
[00:03:15] お諮りたします。ただ今の議会運営委員長の報告の通り、今定例会の会議は本日から
[00:03:24] 9月18日までの18
[00:03:26] 日間といたしたいと思います。これにご異議ございませんか?
[00:03:32] 義なしと認めます。よって会議は本日から
[00:03:36] 9月18日までの18日間と消しました。
[00:03:42] 小犯の報告朗読を省略します。別をお手元
[00:03:46] に配布の通りでありますのでご了承願い
[00:03:49] ます。
[00:03:51] 次に町長から行政報告の申し出があります
[00:03:54] 。これを許します。町長、ご答願。
[00:04:08] おはようございます。
[00:04:11] 令和8年臨時第3回長議会以降における
[00:04:14] 初犯の行政をご報告いたします。行政報告
[00:04:18] 1ページをご覧ください。7月7日
[00:04:22] スマートウェルネシティ推進計画策定委員
[00:04:25] 会の第1回会議を開催いたしました。町民
[00:04:28] の健康と幸福感の向上を目指しスポーツ、
[00:04:33] 経済産業、保険医療、福祉、デジタル、
[00:04:37] 建設協会など各分野から13名を委員とし
[00:04:41] て提職し、健康街づりの推進を進めて
[00:04:44] まいります。今後は来年3月の計画策定に
[00:04:49] 向けアンケートなどを実施する予定ですの
[00:04:51] で、ご協力のほどよろしくお願いいたし
[00:04:54] ます。次に4ページをご覧ください。
[00:05:02] 8月22日から26日にかけ公民館っ総合
[00:05:08] 会館レディースファームスクール富中学校
[00:05:12] 会場としてマと未来トークを開催いたし
[00:05:15] ました。各地域の課題や現状日頃感じて
[00:05:19] おられる率直な思いをお聞かせいただき
[00:05:21] ました。今後も町内会や各種団体との混談
[00:05:25] を重ねてまいりますので、ご要望がござい
[00:05:28] ましたらお気軽にお声かけいただければと
[00:05:30] 思います。次に8月23日長の第1回地熱
[00:05:37] 勉強会地熱発電を通じた地域進行を開催
[00:05:40] いたしました。日曜日にも関わらず多くの
[00:05:44] 方にご参加いただき心よりお礼申し上げ
[00:05:47] ます。なお、第2回は事熱発電と環境保護
[00:05:52] をテーマに実施する予定です。こちらも
[00:05:55] たくさんの方のご参加をお待ちしており
[00:05:57] ます。最後に8月26日に実施した学校
[00:06:02] 給食ランチの主食についてご報告いたし
[00:06:05] ます。新徳長産の食材にこだわった野菜
[00:06:09] たっぷりのビーフカレー、トウモロコシ、
[00:06:12] 飲むヨーグルトが提供され、私も子供たち
[00:06:15] と一緒に給食をいただきました。美味しい
[00:06:18] と夢中で放張る子や自分のペースでお
[00:06:20] 代わりをして最後まで綺麗に食べる子など
