# source: https://www.youtube.com/watch?v=b4LLwOXfTvM
# video_id: b4LLwOXfTvM
# fetched: 2026-09-23T12:21:14.638Z
# segments: 1580

[00:00:29] 令ます。
[00:00:31] おはようございます。
[00:00:38] 本日は全員の出席でございます。ただ今から本日の会議を開きます。議長において作成いたしました本日の事には死元に配布通りで犯の報告は労を省略します。
[00:00:56] 別お手元に配の通りでありますのでご了承
[00:00:59] 願います。
[00:01:02] 日程第1意見案第10号備蓄の早期回復を
[00:01:10] 求め生食用じゃがいもの輸入
[00:01:14] 禁止を行い
[00:01:17] て輸入解金を行わないことを求める意見書
[00:01:22] を議題といたします。お諮りいたします。
[00:01:25] 本件については産業文教上任委員会に付託したいと思います。これにご異議ありませんか?
[00:01:32] 異議なしと認めます。よって意見案第
[00:01:36] 10
[00:01:36] 号は産業文教常任委員会に付託くしことに消しました。今定例会の会議中に審査をお願いいたします。第
[00:01:50] 2位一般質問を行います。
[00:01:52] 一般質問の通告がありましたので順次発言を許します。
[00:01:57] 7番岡村力。
[00:01:59] はい。
[00:02:31] はい。それでは、え、通告に従いまして、え、今期度の一般質問始めさせていただきたいという風に思います。
[00:02:40] え、今議会では安心して生涯住み続け
[00:02:45] られる町を目指す観点から質問をさせて
[00:02:48] いただきます。新徳長の懲英宅は老朽化で
[00:02:53] 使えないものもあるとは思いますが、相当
[00:02:56] 数の懲越住宅が空いていると感じます。
[00:03:01] ったり地域もかなりの飽き出があるよう
[00:03:03] ですが、入居募集をしても応募者は少なく
[00:03:07] 、また、え、取得等の関係で退命令を受け
[00:03:12] ている入居者の受け去となり得る民間
[00:03:14] アパートも少なく、このままではふったり
[00:03:17] 地域の人口はもよい全体としても人口が
[00:03:21] 減っていくばかりと懸念しております。
[00:03:23] 今後映住宅に関する施策として用途を変え
[00:03:28] て新たな活用を図る住宅を設定する。老朽
[00:03:33] 化したものは解体し、後地を定住促進の
[00:03:37] ために活用するなどあらゆる法策を考えて
[00:03:41] 進めていかなければならないと感じており
[00:03:43] ます。また住宅建設費はここ数年で相当
[00:03:48] 高騰していることから定住促進には持ち等
[00:03:52] 住宅建築促進制度の拡充も必要と思います
[00:03:55] 。そこで次の2点についてお伺いします。
[00:04:00] 平住促進にかかる住宅の役割は小さくない
[00:04:04] と思うが、今後の公営住宅の管理運営活用
[00:04:09] については具体的にはどのような効果を
[00:04:13] 狙い進める方針なのか。2つ目、住宅建設
[00:04:17] 費が相当高騰していることから、持進
[00:04:22] 制度における助金額の増額や中華住宅への
[00:04:27] 対象拡大、また秋ア活用促進制度における
[00:04:32] 助成金の増額など持ち施策について拡充の
[00:04:36] お考えはないか、え、お伺いいたします。
[00:04:39] 以上でございます。
[00:04:44] 長、ご討願います。皆さんおはようございます。
[00:05:00] え、岡村議員のご質問にお答えいたします。始めに当長の映住宅の基本的な枠組についてご説明いたします。
[00:05:10] 当の英宅
[00:05:12] 管理条例におきましては超営住宅という
[00:05:15] 総称の中に目的や入居要件が異なる住宅を
[00:05:20] 区分して位置づけております。第1に国の
[00:05:24] 公営住宅法に基づき建設された公営住宅で
[00:05:27] あります。これは定学所得者や高齢者、
[00:05:32] 障害お持ちの方など住宅に困窮されている
[00:05:36] 方々に対し所得に応じた家賃で居住の安定
[00:05:40] を保証する、いわば福祉的セーフティ
[00:05:44] ネットの役割を中核とする住宅であります
[00:05:47] 。第2として中堅所得者等のファミリー層
[00:05:51] を受け入れる特定公共賃貸住宅特攻
[00:05:55] 並びに超独自に整備運営し若手修業者や
[00:05:59] 単審者子育て世帯等の定重受け皿として
[00:06:03] 所得制限を設けていない公共住宅あ公共
[00:06:08] 賃貸住宅であります。公営住宅法に基づく
[00:06:13] 公営住宅につきましては法令上の所得基準
[00:06:16] が定められており居後に一定の所得を超え
[00:06:20] た、え、世帯に対しては法令及び条例の
[00:06:24] 規定に則り、明の努力義務や渡請求を行わ
[00:06:29] ざるを得ないという法的な枠組があります
[00:06:32] 。そのため町といたしましては、福祉的な
[00:06:36] 居住保障と地域活力低重促進のための住宅
[00:06:40] 政策に機能分担させ両輪として進めること
[00:06:44] が重要であると考えております。1点目の
[00:06:48] ご質問についてですが高齢単心世帯の増加
