# source: https://www.youtube.com/watch?v=1-X2MCzENes
# video_id: 1-X2MCzENes
# fetched: 2026-09-23T12:27:46.562Z
# segments: 233

[00:00:38] 休憩を時再開いたします。11番上野
[00:00:42] 岸議員。
[00:00:59] はい。え、今回もですね、ま、前回同様3
[00:01:03] 人の議員がですね、ま、同様の趣旨のもう
[00:01:06] 足の確保という問題でね、ま、質問となり
[00:01:09] ましたけども、ま、よろしく答弁のほどお
[00:01:11] 願いしたいなと思います。え、今回ですね
[00:01:15] 、ま、高齢者サロンの、ま、移動手段の
[00:01:19] 確保についてのご質問をさせていただき
[00:01:23] ます。え、現在徳
[00:01:26] 長議会では、え、出張議会、え、新区委員
[00:01:31] 特と名打って町民との対話活動を重ねて
[00:01:36] おります。で、この中で、え、切実、切実
[00:01:40] な要望事項の1つとして挙げられているの
[00:01:44] が、高齢者の移動手段、足の確保を何とし
[00:01:50] ても進めていただきたいという、ま、強い
[00:01:53] 、ま、願いであります。で、昨に伴い運転
[00:01:58] 免許症を変能する方が増えています。え、
[00:02:03] 町内にはニコニコクラブ等いくつかの
[00:02:07] サロンやサークルがありますが、東歩での
[00:02:11] 移動が困難であるため、楽しみにしている
[00:02:15] 例解にも参加できないと残念がある声が
[00:02:20] 上がっております。え、2020年9月
[00:02:24] 議会の、ま、一般質問におきまして、ま、
[00:02:27] 私は認知症予防の観点から補聴機購入補助
[00:02:32] 制度の創設を求め、その実現につなげさせ
[00:02:37] ていただきました。で、当時南は認知症の
[00:02:42] リスク要因の1つであり、その予防のため
[00:02:46] に補長期購入補助が必要であると訴えまし
[00:02:50] たが、今回高齢者の皆さんが移動手段の
[00:02:55] 問題で加念懸念されているのもまさに当で
[00:03:01] の移動が困難になり自宅にと閉じこもり
[00:03:05] がちになることで結果として認知症の
[00:03:09] リスクが高まるのではないかという不安に
[00:03:12] 他なりません。で、高齢者がいかに安心し
[00:03:16] て健康的に外出大外活動を行うことが
[00:03:21] できるのか。で、これは岩町長が日頃から
[00:03:26] 掲げられている健康な街づりの具限化に
[00:03:30] おいて極めて重要であり、蝶として高齢者
