# source: https://www.youtube.com/watch?v=igK2MirgtK8
# video_id: igK2MirgtK8
# fetched: 2026-09-23T12:28:36.250Z
# segments: 277

[00:00:29] 令を行います。
[00:00:31] こんにちは。
[00:00:32] あ、間違った。本日は全員の出席でございます。ただ今から本日の会議を開きます。議長において作成いたしました本日の事にては市元に配布した通りであります。
[00:00:58] 長案の報告は朗読を省略します。弟子お
[00:01:02] 手元にの通りでありますのでご了承お願い
[00:01:05] ます。
[00:01:09] 日程第1議案第71号令和8年度新長一般
[00:01:16] 会計補正予算を議題といたします。提案者
[00:01:20] から提案理由の説明を求めます。働副町長
[00:01:24] 。
[00:01:36] 議案第71号令和8年度新得庁一般会計
[00:01:41] 補正予算第6号につきましてご説明
[00:01:44] 申し上げます。第1条歳入歳出予算の総額
[00:01:48] に歳入歳出それぞれ726万円
[00:01:52] を追加し、歳入歳出予算の総額を歳入歳出
[00:01:57] それぞれ92億84万8000円
[00:02:01] とするものでございます。7ページ再出を
[00:02:04] お開き願います。
[00:02:12] 間総務費企画費の12節委託量では駅前
[00:02:17] 地域交流センターに金融機関を増設する
[00:02:22] 当初計画の撤開により懲浴上撤去箇所に
[00:02:27] 整備する駐車場の設計に追加が必要となっ
[00:02:32] たことから駅前地域交流センター駐車場増
[00:02:36] 詳細設計委託量を新たに計上いたしており
[00:02:39] ます。8ページをお開きください。4巻
[00:02:44] 衛生費
[00:02:46] センター管理費の14節公住系費では一般
[00:02:51] 廃棄物中継施設の高圧ケーブルが経年劣化
[00:02:56] により一著しく損傷していることが法定
[00:03:00] 点検により判明したため高圧受変電設備
[00:03:05] 受変受変電設備更新工事費を新たに計上し
[00:03:10] ております。9ページに移りまして7巻
[00:03:14] 商費観光費の18節負担金補助及び交付金
[00:03:19] では日本航空に日本航空による戸勝帯広
[00:03:25] 空港大阪伊見線の当期就行に伴い道路線の
[00:03:31] 活用による観光進行及び地域経済の活性化
[00:03:35] を図るため本長への宿者宿泊者に対し
[00:03:40] 1人当5000円を助成する大阪伊見線
[00:03:45] 利用促進事業補助金を新たに計上し、
[00:03:49] 積み立て金では宿泊税を本事業の財源と
[00:03:53] するため宿泊税基金積み立て金を減額して
[00:03:57] おります。6ページに戻りまして再認を
[00:04:00] ご覧願います。
[00:04:05] 19巻繰歴は今回の補正の財源調整のため
[00:04:10] 財政調整基金繰例入歴金を増額し、駅前
[00:04:13] 地域交流センター駐車場造成詳細設計委託
[00:04:18] 量の財源として公共施設繰ີ້金を増額し
[00:04:23] ております。以上で説明はありますが
[00:04:25] よろしくご審議のほどお願いいたします。
[00:04:40] これから質疑に入ります。質疑がありまし
[00:04:42] たら発言を許します。
[00:04:46] これを持って質疑を集結いたします。本件
[00:04:49] について討論はありませんか?
[00:04:53] 討論がないようですんで、これから議案第
[00:04:56] 71号を採決いたします。
[00:05:00] 本件は原案の通り決することに賛成議員の
[00:05:04] 挙を求めます。
[00:05:07] 挙種全員であります。よって議案第71号
[00:05:11] は原案の通り可決されました。
[00:05:16] 日程第2議案第72号令和8年度新長国民
[00:05:23] 健康保険事業特別会計補正予算を議題と
[00:05:26] いたします。提案者から提案理由の説明を
[00:05:29] 求めます。
[00:05:31] 働副長
[00:05:32] はい。
[00:05:43] 議案第72号、令和8
[00:05:45] 年度新得庁国民健康保険事業特別計補正
[00:05:50] 予算第1
[00:05:51] 号につきましてご説明を申し上げます。
[00:05:54] 第1条歳入歳出予算の総額に歳入歳出
[00:05:59] それぞれ
[00:06:01] 79万9000円
[00:06:02] を追加し歳入歳出予算の総額を歳入歳出
[00:06:07] それぞれ5億6763万3000円
[00:06:11] とするものでございます。8ページ再出を
[00:06:14] お開きください。
[00:06:20] 2巻保険研究費では
[00:06:24] 出産育児一次金の実績見込みにより予算に
[00:06:29] 不足が生じるため増額をしております。9
[00:06:33] ページに移りまして7巻消費支出金保険
[00:06:37] 税付金の召喚金子及び割引き量では国民
[00:06:42] 健康保険税の幹付金について予算に不足が
[00:06:47] 踏み込まれることから税付金を増額して
[00:06:50] おります。6ページの歳入にお戻り願い
[00:06:54] ます。
[00:06:56] 未間同支
[00:06:59] 保険給付費と交付金では131次金の財源
