# 編集はこのCSVで行う。public/data/gikai_links.json はビルド生成物（git管理外）。
# 生成コマンド: npm run build:links
# フォーマット: caseType,eraLabel,num,ref   ← 4列（v2: eraLabel 追加で年度衝突を防ぐ）
#   caseType ... 議案 or 意見案
#   eraLabel ... 例: 令和7年  ← giketsu_index.json の eraLabel と完全一致
#   num      ... 正の整数
#   ref      ... theme:<priorityId> または issue:<issueId>
# 行頭 # はコメント、空行は無視される。
caseType,eraLabel,num,ref
議案,令和6年,2,theme:finance
議案,令和6年,2,issue:finance-kpi
意見案,平成26年,1,theme:finance
議案,平成26年,5,theme:finance
意見案,平成26年,5,theme:finance
議案,平成26年,12,theme:finance
議案,平成26年,13,theme:finance
議案,平成26年,14,theme:finance
意見案,平成26年,15,theme:community
議案,平成26年,15,theme:finance
議案,平成26年,16,theme:finance
意見案,平成26年,16,theme:health
議案,平成26年,17,theme:finance
意見案,平成26年,19,theme:health
議案,平成26年,21,theme:health
意見案,平成26年,21,theme:health
意見案,平成26年,22,theme:health
議案,平成26年,26,theme:health
議案,平成26年,33,theme:agriculture
議案,平成26年,35,theme:finance
議案,平成26年,37,theme:finance
議案,平成26年,51,theme:finance
議案,平成26年,52,theme:health
議案,平成26年,56,theme:finance
議案,平成26年,57,theme:finance
議案,平成27年,2,theme:health
議案,平成27年,3,theme:finance
議案,平成27年,4,theme:health
議案,平成27年,5,theme:community
意見案,平成27年,6,theme:community
議案,平成27年,6,theme:finance
議案,平成27年,7,theme:health
議案,平成27年,13,theme:finance
議案,平成27年,14,theme:finance
議案,平成27年,15,theme:finance
議案,平成27年,20,theme:health
議案,平成27年,23,theme:health
議案,平成27年,26,theme:finance
議案,平成27年,27,theme:health
議案,平成27年,29,theme:finance
議案,平成27年,31,theme:health
議案,平成27年,44,theme:finance
議案,平成27年,46,theme:finance
議案,平成27年,48,theme:finance
議案,平成27年,50,theme:health
議案,平成27年,53,theme:finance
議案,平成27年,61,theme:finance
議案,平成27年,63,theme:community
議案,平成27年,65,theme:finance
議案,平成27年,68,theme:finance
議案,平成27年,69,theme:finance
議案,平成27年,70,theme:finance
議案,平成27年,72,theme:finance
議案,平成27年,74,theme:finance
議案,平成27年,75,theme:finance
議案,平成27年,76,theme:finance
議案,平成27年,81,theme:finance
議案,平成27年,82,theme:community
議案,平成27年,83,theme:health
議案,平成27年,84,theme:finance
議案,平成27年,85,theme:health
議案,平成27年,89,theme:community
議案,平成28年,3,theme:community
議案,平成28年,4,theme:finance
議案,平成28年,5,theme:finance
意見案,平成28年,5,theme:finance
議案,平成28年,6,theme:finance
議案,平成28年,7,theme:finance
意見案,平成28年,7,theme:finance
議案,平成28年,8,theme:community
議案,平成28年,12,theme:community
議案,平成28年,12,theme:health
議案,平成28年,14,theme:finance
議案,平成28年,15,theme:community
議案,平成28年,17,theme:community
議案,平成28年,19,theme:community
議案,平成28年,21,theme:finance
議案,平成28年,23,theme:health
議案,平成28年,24,theme:health
議案,平成28年,27,theme:community
議案,平成28年,28,theme:health
議案,平成28年,32,theme:finance
議案,平成28年,33,theme:finance
議案,平成28年,37,theme:community
議案,平成28年,51,theme:finance
議案,平成28年,53,theme:finance
議案,平成28年,54,theme:finance
議案,平成28年,55,theme:finance
議案,平成28年,58,theme:finance
議案,平成28年,60,theme:community
議案,平成28年,61,theme:finance
議案,平成28年,62,theme:finance
議案,平成28年,63,theme:finance
議案,平成28年,64,theme:finance
議案,平成28年,66,theme:agriculture
議案,平成28年,67,theme:finance
議案,平成28年,69,theme:finance
議案,平成28年,74,theme:finance
議案,平成28年,75,theme:finance
議案,平成28年,76,theme:finance
意見案,令和2年,1,theme:finance
議案,令和2年,5,theme:finance
議案,令和2年,6,theme:finance
意見案,令和2年,6,theme:finance
議案,令和2年,7,theme:community
意見案,令和2年,7,theme:finance
意見案,令和2年,9,theme:finance
議案,令和2年,10,theme:finance
議案,令和2年,18,theme:finance
議案,令和2年,19,theme:health
議案,令和2年,21,theme:finance
議案,令和2年,23,theme:finance
議案,令和2年,26,theme:finance
議案,令和2年,27,theme:health
議案,令和2年,29,theme:finance
議案,令和2年,37,theme:finance
議案,令和2年,50,theme:health
議案,令和2年,51,theme:finance
議案,令和2年,54,theme:finance
議案,令和2年,55,theme:finance
議案,令和2年,62,theme:tourism
議案,令和2年,63,theme:community
議案,令和2年,64,theme:finance
議案,令和2年,72,theme:finance
議案,令和2年,74,theme:finance
議案,令和2年,76,theme:finance
意見案,令和3年,1,theme:finance
意見案,令和3年,2,theme:finance
議案,令和3年,5,theme:finance
議案,令和3年,6,theme:finance
議案,令和3年,7,theme:health
議案,令和3年,8,theme:finance
