# 自動提案ファイル（毎回上書き生成）
# 内容を確認して npm run merge:links で data/gikai_links.csv に取り込んでください。
# score と matched はコメント参考値（CSV 取り込み時は無視されます）
caseType,eraLabel,num,ref
意見案,平成26年,1,theme:finance  # score:2 matched:[予算/補正]
議案,平成26年,5,theme:finance  # score:2 matched:[予算/補正]
意見案,平成26年,5,theme:finance  # score:2 matched:[予算/補正]
議案,平成26年,12,theme:finance  # score:2 matched:[予算/補正]
議案,平成26年,13,theme:finance  # score:2 matched:[予算/補正]
議案,平成26年,14,theme:finance  # score:2 matched:[予算/補正]
意見案,平成26年,15,theme:community  # score:1 matched:[消防]
議案,平成26年,15,theme:finance  # score:2 matched:[予算/補正]
議案,平成26年,16,theme:finance  # score:2 matched:[予算/補正]
意見案,平成26年,16,theme:health  # score:1 matched:[医療]
議案,平成26年,17,theme:finance  # score:2 matched:[予算/補正]
意見案,平成26年,19,theme:health  # score:1 matched:[介護]
議案,平成26年,21,theme:health  # score:1 matched:[介護]
意見案,平成26年,21,theme:health  # score:2 matched:[介護/医療]
意見案,平成26年,22,theme:health  # score:1 matched:[介護]
議案,平成26年,26,theme:health  # score:1 matched:[医療]
議案,平成26年,33,theme:agriculture  # score:2 matched:[農/農業]
議案,平成26年,35,theme:finance  # score:2 matched:[予算/補正]
議案,平成26年,37,theme:finance  # score:2 matched:[予算/補正]
議案,平成26年,51,theme:finance  # score:2 matched:[予算/補正]
議案,平成26年,52,theme:health  # score:1 matched:[医療]
議案,平成26年,56,theme:finance  # score:2 matched:[予算/補正]
議案,平成26年,57,theme:finance  # score:2 matched:[予算/補正]
議案,平成27年,2,theme:health  # score:1 matched:[保育]
議案,平成27年,3,theme:finance  # score:2 matched:[予算/補正]
議案,平成27年,4,theme:health  # score:1 matched:[介護]
議案,平成27年,5,theme:community  # score:1 matched:[地域]
意見案,平成27年,6,theme:community  # score:1 matched:[地域]
議案,平成27年,6,theme:finance  # score:2 matched:[予算/補正]
議案,平成27年,7,theme:health  # score:1 matched:[保育]
議案,平成27年,13,theme:finance  # score:2 matched:[予算/補正]
議案,平成27年,14,theme:finance  # score:2 matched:[予算/補正]
議案,平成27年,15,theme:finance  # score:2 matched:[予算/補正]
議案,平成27年,20,theme:health  # score:1 matched:[介護]
議案,平成27年,23,theme:health  # score:2 matched:[保育/教育]
議案,平成27年,26,theme:finance  # score:2 matched:[予算/補正]
議案,平成27年,27,theme:health  # score:1 matched:[医療]
議案,平成27年,29,theme:finance  # score:2 matched:[予算/補正]
議案,平成27年,31,theme:health  # score:1 matched:[介護]
議案,平成27年,44,theme:finance  # score:2 matched:[予算/補正]
議案,平成27年,46,theme:finance  # score:2 matched:[予算/補正]
議案,平成27年,48,theme:finance  # score:2 matched:[予算/補正]
議案,平成27年,50,theme:health  # score:1 matched:[保育]
議案,平成27年,53,theme:finance  # score:3 matched:[決算/歳入/歳出]
議案,平成27年,61,theme:finance  # score:2 matched:[予算/補正]
議案,平成27年,63,theme:community  # score:1 matched:[消防]
議案,平成27年,65,theme:finance  # score:2 matched:[予算/補正]
議案,平成27年,68,theme:finance  # score:2 matched:[予算/補正]
議案,平成27年,69,theme:finance  # score:2 matched:[予算/補正]
議案,平成27年,70,theme:finance  # score:2 matched:[予算/補正]
議案,平成27年,72,theme:finance  # score:2 matched:[予算/補正]
議案,平成27年,74,theme:finance  # score:2 matched:[予算/補正]
議案,平成27年,75,theme:finance  # score:2 matched:[予算/補正]
議案,平成27年,76,theme:finance  # score:2 matched:[予算/補正]
議案,平成27年,81,theme:finance  # score:2 matched:[予算/補正]
議案,平成27年,82,theme:community  # score:1 matched:[地域]
議案,平成27年,83,theme:health  # score:1 matched:[介護]
議案,平成27年,84,theme:finance  # score:2 matched:[予算/補正]
議案,平成27年,85,theme:health  # score:2 matched:[学校/給食]
議案,平成27年,89,theme:community  # score:1 matched:[消防]
議案,平成28年,3,theme:community  # score:1 matched:[地域]
議案,平成28年,4,theme:finance  # score:2 matched:[予算/補正]
議案,平成28年,5,theme:finance  # score:2 matched:[予算/補正]
意見案,平成28年,5,theme:finance  # score:2 matched:[予算/補正]
議案,平成28年,6,theme:finance  # score:2 matched:[予算/補正]
議案,平成28年,7,theme:finance  # score:2 matched:[予算/補正]
意見案,平成28年,7,theme:finance  # score:3 matched:[決算/歳入/歳出]
議案,平成28年,8,theme:community  # score:1 matched:[地域]
議案,平成28年,12,theme:community  # score:1 matched:[地域]
議案,平成28年,12,theme:health  # score:1 matched:[介護]
議案,平成28年,14,theme:finance  # score:2 matched:[予算/補正]
議案,平成28年,15,theme:community  # score:1 matched:[定住]
議案,平成28年,17,theme:community  # score:1 matched:[防災]
議案,平成28年,19,theme:community  # score:1 matched:[地域]
議案,平成28年,21,theme:finance  # score:2 matched:[予算/補正]
議案,平成28年,23,theme:health  # score:1 matched:[医療]
議案,平成28年,24,theme:health  # score:1 matched:[介護]
議案,平成28年,27,theme:community  # score:1 matched:[地域]
議案,平成28年,28,theme:health  # score:1 matched:[福祉]
議案,平成28年,32,theme:finance  # score:2 matched:[予算/補正]
議案,平成28年,33,theme:finance  # score:2 matched:[予算/補正]
議案,平成28年,37,theme:community  # score:1 matched:[消防]
議案,平成28年,51,theme:finance  # score:2 matched:[予算/補正]
議案,平成28年,53,theme:finance  # score:2 matched:[予算/補正]
議案,平成28年,54,theme:finance  # score:2 matched:[予算/補正]
議案,平成28年,55,theme:finance  # score:2 matched:[予算/補正]
議案,平成28年,58,theme:finance  # score:2 matched:[予算/補正]
議案,平成28年,60,theme:community  # score:1 matched:[地域]
議案,平成28年,61,theme:finance  # score:2 matched:[予算/補正]
議案,平成28年,62,theme:finance  # score:2 matched:[予算/補正]
議案,平成28年,63,theme:finance  # score:2 matched:[予算/補正]
議案,平成28年,64,theme:finance  # score:2 matched:[予算/補正]
議案,平成28年,66,theme:agriculture  # score:2 matched:[農/農業]
議案,平成28年,67,theme:finance  # score:2 matched:[予算/補正]
議案,平成28年,69,theme:finance  # score:2 matched:[予算/補正]
議案,平成28年,74,theme:finance  # score:2 matched:[予算/補正]
議案,平成28年,75,theme:finance  # score:2 matched:[予算/補正]
議案,平成28年,76,theme:finance  # score:2 matched:[予算/補正]
意見案,令和2年,1,theme:finance  # score:2 matched:[予算/補正]
議案,令和2年,5,theme:finance  # score:2 matched:[予算/補正]
議案,令和2年,6,theme:finance  # score:2 matched:[予算/補正]
意見案,令和2年,6,theme:finance  # score:2 matched:[予算/補正]
議案,令和2年,7,theme:community  # score:1 matched:[定住]
意見案,令和2年,7,theme:finance  # score:2 matched:[財政/税]
意見案,令和2年,9,theme:finance  # score:2 matched:[予算/補正]
議案,令和2年,10,theme:finance  # score:2 matched:[予算/補正]
議案,令和2年,18,theme:finance  # score:2 matched:[予算/補正]
